ticks, averageDistance
100, 9.42973
200, 8.75898
300, 8.59164
400, 7.67253
500, 7.57136
600, 7.32793
700, 5.75248
800, 5.7132
900, 6.51167
1000, 6.51031
1100, 5.94103
1200, 6.12751
1300, 5.58422
1400, 5.37461
1500, 5.15915
1600, 6.20491
1700, 6.51942
1800, 5.56646
1900, 4.54411
2000, 4.2754
2100, 3.97876
2200, 3.81247
2300, 3.99047
2400, 4.2019
2500, 4.03622
2600, 3.85151
2700, 3.04103
2800, 3.15454
2900, 2.09434
3000, 2.82806
3100, 2.3431
3200, 2.18304
3300, 2.14606
3400, 2.36851
3500, 2.44108
3600, 2.3168
3700, 2.60763
3800, 2.43514
3900, 1.73332
4000, 1.2659
4100, 1.49328
4200, 1.94345
4300, 1.465
4400, 1.00759
4500, 1.49062
4600, 1.03978
4700, 0.58075
4800, 0.448833
4900, 0.419743
5000, 0.40916
5100, 0.465989
5200, 0.450451
5300, 0.425659
5400, 0.391786
5500, 0.444024
5600, 0.397436
5700, 0.451502
